LapNumber,Throttle,Brake,DRS,PitDuration,Compound,TyreLife
1,40.10104825489053,112,0,0.0,5,1
2,41.665369893598616,102,5,0.0,5,2
3,41.956384931875284,98,7,0.0,5,3
4,42.08892750679105,97,7,0.0,5,4
5,42.47064239828473,98,5,0.0,5,5
6,42.553267181137706,97,5,0.0,5,6
7,42.81846793366306,95,4,0.0,5,7
8,42.5142989320269,97,4,0.0,5,8
9,41.98792790508579,97,3,0.0,5,9
10,40.378492855437756,100,3,0.0,5,10
11,41.26473393189183,100,3,0.0,5,11
12,42.08933090969542,101,3,0.0,5,12
13,41.04498590794045,104,2,0.0,5,13
14,43.32873700656755,98,2,0.0,5,14
15,44.12879846850558,95,2,0.0,5,15
16,44.668500230621476,271,3,0.0,5,16
17,44.330162932206285,94,3,0.0,5,17
18,44.50162528581303,94,3,0.0,5,18
19,45.09550203199815,258,3,0.0,5,19
20,44.5276015183478,95,3,0.0,5,20
21,44.44822585356516,94,3,0.0,5,21
22,44.706777444512454,94,2,0.0,5,22
23,45.11438995952249,92,3,0.0,5,23
24,45.63652365653705,243,2,0.0,5,24
25,43.477660440214564,93,2,0.0,5,25
26,42.29799456157016,95,2,0.0,5,26
27,42.5943293417712,94,3,0.0,5,27
28,42.58215592493586,119,3,0.0,5,28
29,42.06819753655753,291,3,0.0,5,29
30,45.50101605754278,91,3,0.0,5,30
31,44.39079187350906,93,4,0.0,5,31
32,45.500596229938296,92,4,25.96884722222222,6,1
33,45.46441301532578,92,3,0.0,6,2
34,45.929111949428254,91,3,0.0,6,3
35,45.74900488029181,91,3,0.0,6,4
36,46.01249618538951,90,3,0.0,6,5
37,46.11346092770066,90,3,0.0,6,6
38,46.032181549860454,89,3,0.0,6,7
39,46.14100411728551,90,3,0.0,6,8
40,46.44593433170868,89,4,0.0,6,9
41,46.1777958361193,91,4,0.0,6,10
42,46.53597573435095,89,4,0.0,6,11
43,46.09118405077926,90,3,0.0,6,12
44,46.40854675867553,89,3,0.0,6,13
45,46.52940555596341,89,3,0.0,6,14
46,46.75005311724325,90,3,0.0,6,15
47,46.45767786433997,89,3,0.0,6,16
48,47.12640188338567,126,3,0.0,6,17
49,46.66107616094575,88,3,0.0,6,18
50,45.89640832673039,92,3,0.0,6,19
51,45.04662241570197,93,3,0.0,6,20
52,44.782576361753584,169,3,0.0,6,21
53,44.129800546840535,182,3,0.0,6,22
54,43.735954414223635,97,2,0.0,6,23
55,43.45938226844932,97,3,0.0,6,24
56,43.92717264535207,95,3,0.0,6,25
57,44.08727517760541,95,2,0.0,6,26
58,44.04371534025694,95,2,0.0,6,27
59,44.0630227587505,94,2,0.0,6,28
60,44.24309565756075,94,2,0.0,6,29
61,44.771462897796305,93,3,0.0,6,30
62,44.36419513388902,93,3,0.0,6,31
63,43.82832040211184,98,3,0.0,6,32
64,40.519353208389866,102,3,0.0,6,33
65,44.479235735846665,93,3,0.0,6,34
66,44.333371061149954,92,3,0.0,6,35
67,44.08597204454521,93,3,0.0,6,36
68,44.54853504242145,92,3,0.0,6,37
69,44.68360815723947,92,3,0.0,6,38
70,45.83256464915612,173,4,0.0,6,39
71,43.4682382981316,94,3,0.0,6,40
72,43.43706108281243,96,3,0.0,6,41
73,45.489697913682605,92,3,0.0,6,42
74,45.91095885822603,91,4,0.0,6,43
75,44.908604176465175,91,4,0.0,6,44
76,42.37070252996607,104,3,0.0,6,45
77,36.14745868285844,128,3,0.0,6,46
78,17.603096520265684,145,1,0.0,6,47
