LapNumber,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,Rainfall,Year
1.0,25.700000000000003,51.0,1015.6500000000001,33.75,193.0,0.7,1,2018
2.0,26.0,50.7,1015.6,33.9,181.0,0.6,1,2018
3.0,26.0,50.7,1015.6,33.9,181.0,0.6,1,2018
4.0,26.1,50.0,1015.6,33.9,283.0,1.0,1,2018
5.0,26.6,48.599999999999994,1015.6,33.6,232.0,1.65,2,2018
6.0,26.7,48.2,1015.6,34.5,301.0,0.9,1,2018
7.0,26.7,47.7,1015.2,33.9,168.0,1.9,1,2018
8.0,26.7,47.7,1015.3,33.8,166.0,1.7,2,2018
9.0,26.8,46.1,1015.3,33.8,284.0,1.0,1,2018
10.0,26.8,46.1,1015.3,33.8,284.0,1.0,1,2018
11.0,26.8,45.9,1015.2,33.7,164.0,1.4,1,2018
12.0,27.05,43.45,1015.1500000000001,33.9,172.5,1.95,1,2018
13.0,27.1,43.9,1015.1,34.0,160.0,2.0,0,2018
14.0,27.2,43.8,1015.1,33.7,137.0,1.0,0,2018
15.0,27.2,44.0,1015.1500000000001,33.85,155.5,1.2,0,2018
16.0,27.3,44.1,1015.2,34.1,153.0,1.5,0,2018
17.0,27.2,44.1,1015.2,33.8,157.0,0.8,0,2018
18.0,27.35,43.849999999999994,1015.2,34.2,169.5,1.5,0,2018
19.0,27.3,44.4,1015.2,34.0,173.0,1.5,0,2018
20.0,27.2,45.2,1015.2,33.8,150.0,1.5,0,2018
21.0,27.2,45.35,1015.1,33.95,166.0,1.35,0,2018
22.0,27.2,45.6,1015.1,34.1,170.0,1.5,0,2018
23.0,27.2,44.9,1015.1,34.3,162.0,2.2,0,2018
24.0,27.55,43.8,1015.1,34.45,167.5,1.65,0,2018
25.0,27.3,47.1,1015.0,33.8,180.0,0.8,0,2018
26.0,27.3,47.1,1015.0,33.8,180.0,0.8,0,2018
27.0,27.05,48.2,1015.0,33.75,138.5,1.6,0,2018
28.0,27.0,48.3,1015.1,34.2,169.0,1.9,0,2018
29.0,27.4,46.1,1015.0,34.4,158.0,0.9,0,2018
30.0,27.5,45.6,1015.0,34.4,158.0,2.1,0,2018
31.0,27.5,45.45,1014.9,34.35,165.5,1.9000000000000001,0,2018
32.0,27.5,45.8,1014.9,34.2,168.0,1.6,0,2018
33.0,27.6,45.2,1015.0,35.0,241.0,1.4,0,2018
34.0,27.5,45.75,1014.95,35.05,199.0,1.25,0,2018
35.0,27.5,45.7,1014.9,34.9,171.0,1.3,0,2018
36.0,27.6,46.1,1015.0,35.2,196.0,2.1,0,2018
37.0,27.5,46.25,1015.05,35.3,173.5,1.2,0,2018
38.0,27.4,46.9,1015.1,35.1,191.0,1.3,0,2018
39.0,27.4,47.5,1015.2,35.8,0.0,0.8,0,2018
40.0,27.45,47.8,1015.0,36.15,243.5,1.05,0,2018
41.0,27.5,47.6,1015.1,36.4,310.0,0.8,0,2018
42.0,27.4,48.9,1015.0,36.6,167.0,1.9,0,2018
43.0,27.25,49.9,1015.05,36.8,171.5,1.5,0,2018
44.0,27.1,50.9,1015.1,37.0,176.0,1.1,0,2018
45.0,26.9,51.6,1015.2,36.3,191.0,1.7,0,2018
46.0,26.8,52.1,1015.1500000000001,36.55,167.0,1.4,0,2018
47.0,26.9,51.9,1015.2,36.6,255.0,1.4,0,2018
48.0,26.7,52.8,1015.0,36.6,155.0,1.8,0,2018
49.0,26.55,53.55,1015.1,36.5,149.0,1.8,0,2018
50.0,26.7,53.3,1015.2,36.7,159.0,1.3,0,2018
51.0,26.7,53.6,1015.1,36.3,151.0,1.4,0,2018
52.0,26.65,54.25,1015.2,36.1,163.5,2.0999999999999996,0,2018
53.0,26.6,54.9,1015.2,35.9,161.0,1.1,0,2018
54.0,26.6,54.8,1015.2,35.6,180.0,1.0,0,2018
55.0,26.5,55.45,1015.1500000000001,35.2,228.0,1.15,0,2018
56.0,26.4,55.9,1015.2,34.6,156.0,1.0,0,2018
57.0,26.4,55.9,1015.2,34.6,156.0,1.0,0,2018
58.0,26.3,56.2,1015.2,34.7,193.0,1.4,0,2018
59.0,26.3,56.7,1015.1,34.8,175.0,1.8,0,2018
60.0,26.3,56.7,1015.2,34.4,177.0,2.4,0,2018
61.0,26.3,56.7,1015.2,34.4,177.0,2.4,0,2018
62.0,26.25,56.95,1015.25,34.349999999999994,161.0,1.7000000000000002,0,2018
63.0,26.2,56.7,1015.2,34.3,280.0,1.4,0,2018
64.0,26.2,57.0,1015.3,34.3,212.0,1.4,0,2018
65.0,26.15,57.05,1015.3,34.2,212.5,1.45,0,2018
66.0,26.0,57.4,1015.3,34.3,159.0,1.9,0,2018
67.0,25.9,58.1,1015.2,34.3,159.0,1.7,0,2018
68.0,26.0,57.6,1015.2,34.65,172.0,1.35,0,2018
69.0,26.2,56.8,1015.2,34.6,144.0,1.0,0,2018
70.0,26.3,56.5,1015.3,34.5,187.0,1.4,0,2018
71.0,26.2,57.2,1015.2,34.4,166.0,1.3,0,2018
72.0,26.1,57.35,1015.1500000000001,34.3,159.0,1.4500000000000002,0,2018
73.0,25.799999999999997,58.150000000000006,1015.2,34.35,173.5,1.35,0,2018
74.0,25.7,58.2,1015.2,34.5,149.0,1.4,0,2018
75.0,25.5,58.7,1015.2,33.8,173.0,1.5,0,2018
76.0,25.4,59.3,1015.1,33.7,210.0,1.4,0,2018
77.0,25.6,58.5,1015.1500000000001,34.55,152.0,1.25,0,2018
