,RacingNumber,BroadcastName,FullName,Tla,Line,TeamName,TeamColour,FirstName,LastName
3,3,D RICCIARDO,Daniel RICCIARDO,RIC,1,Red Bull Racing,1E41FF,Daniel,Ricciardo
5,5,S VETTEL,Sebastian VETTEL,VET,2,Ferrari,DC0000,Sebastian,Vettel
44,44,L HAMILTON,Lewis HAMILTON,HAM,3,Mercedes,00D2BE,Lewis,Hamilton
7,7,K RAIKKONEN,Kimi RAIKKONEN,RAI,4,Ferrari,DC0000,Kimi,Räikkönen
77,77,V BOTTAS,Valtteri BOTTAS,BOT,5,Mercedes,00D2BE,Valtteri,Bottas
31,31,E OCON,Esteban OCON,OCO,6,Force India,F596C8,Esteban,Ocon
14,14,F ALONSO,Fernando ALONSO,ALO,20,McLaren,FF8700,Fernando,Alonso
55,55,C SAINZ,Carlos SAINZ,SAI,10,Renault,FFF500,Carlos,Sainz
11,11,S PEREZ,Sergio PEREZ,PER,12,Force India,F596C8,Sergio,Perez
10,10,P GASLY,Pierre GASLY,GAS,7,Toro Rosso,469BFF,Pierre,Gasly
27,27,N HULKENBERG,Nico HULKENBERG,HUL,8,Renault,FFF500,Nico,Hulkenberg
2,2,S VANDOORNE,Stoffel VANDOORNE,VAN,14,McLaren,FF8700,Stoffel,Vandoorne
35,35,S SIROTKIN,Sergey SIROTKIN,SIR,16,Williams,FFFFFF,Sergey,Sirotkin
16,16,C LECLERC,Charles LECLERC,LEC,18,Sauber,9B0000,Charles,Leclerc
28,28,B HARTLEY,Brendon HARTLEY,HAR,19,Toro Rosso,469BFF,Brendon,Hartley
9,9,M ERICSSON,Marcus ERICSSON,ERI,11,Sauber,9B0000,Marcus,Ericsson
18,18,L STROLL,Lance STROLL,STR,17,Williams,FFFFFF,Lance,Stroll
8,8,R GROSJEAN,Romain GROSJEAN,GRO,15,Haas F1 Team,828282,Romain,Grosjean
20,20,K MAGNUSSEN,Kevin MAGNUSSEN,MAG,13,Haas F1 Team,828282,Kevin,Magnussen
33,33,M VERSTAPPEN,Max VERSTAPPEN,VER,9,Red Bull Racing,1E41FF,Max,Verstappen
