,RacingNumber,BroadcastName,FullName,Tla,Line,TeamName,TeamColour,FirstName,LastName,Reference,HeadshotUrl
16,16,C LECLERC,Charles LECLERC,LEC,20,Ferrari,DC0004,Charles,Leclerc,CHALEC01,https://www.formula1.com/content/dam/fom-website/drivers/C/CHALEC01_Charles_Leclerc/chalec01.png.transform/1col/image.png
33,33,M VERSTAPPEN,Max VERSTAPPEN,VER,1,Red Bull Racing,0600EF,Max,Verstappen,MAXVER01,https://www.formula1.com/content/dam/fom-website/drivers/M/MAXVER01_Max_Verstappen/maxver01.png.transform/1col/image.png
77,77,V BOTTAS,Valtteri BOTTAS,BOT,19,Mercedes,00D2BE,Valtteri,Bottas,VALBOT01,https://www.formula1.com/content/dam/fom-website/drivers/V/VALBOT01_Valtteri_Bottas/valbot01.png.transform/1col/image.png
55,55,C SAINZ,Carlos SAINZ,SAI,2,Ferrari,DC0004,Carlos,Sainz,CARSAI01,https://www.formula1.com/content/dam/fom-website/drivers/C/CARSAI01_Carlos_Sainz/carsai01.png.transform/1col/image.png
4,4,L NORRIS,Lando NORRIS,NOR,3,McLaren,FF9800,Lando,Norris,LANNOR01,https://www.formula1.com/content/dam/fom-website/drivers/L/LANNOR01_Lando_Norris/lannor01.png.transform/1col/image.png
10,10,P GASLY,Pierre GASLY,GAS,6,AlphaTauri,2B4562,Pierre,Gasly,PIEGAS01,https://www.formula1.com/content/dam/fom-website/drivers/P/PIEGAS01_Pierre_Gasly/piegas01.png.transform/1col/image.png
44,44,L HAMILTON,Lewis HAMILTON,HAM,7,Mercedes,00D2BE,Lewis,Hamilton,LEWHAM01,https://www.formula1.com/content/dam/fom-website/drivers/L/LEWHAM01_Lewis_Hamilton/lewham01.png.transform/1col/image.png
5,5,S VETTEL,Sebastian VETTEL,VET,5,Aston Martin,006F62,Sebastian,Vettel,SEBVET01,https://www.formula1.com/content/dam/fom-website/drivers/S/SEBVET01_Sebastian_Vettel/sebvet01.png.transform/1col/image.png
11,11,S PEREZ,Sergio PEREZ,PER,4,Red Bull Racing,0600EF,Sergio,Perez,SERPER01,https://www.formula1.com/content/dam/fom-website/drivers/S/SERPER01_Sergio_Perez/serper01.png.transform/1col/image.png
99,99,A GIOVINAZZI,Antonio GIOVINAZZI,GIO,10,Alfa Romeo Racing,900000,Antonio,Giovinazzi,ANTGIO01,https://www.formula1.com/content/dam/fom-website/drivers/A/ANTGIO01_Antonio_Giovinazzi/antgio01.png.transform/1col/image.png
31,31,E OCON,Esteban OCON,OCO,9,Alpine,0090FF,Esteban,Ocon,ESTOCO01,https://www.formula1.com/content/dam/fom-website/drivers/E/ESTOCO01_Esteban_Ocon/estoco01.png.transform/1col/image.png
3,3,D RICCIARDO,Daniel RICCIARDO,RIC,12,McLaren,FF9800,Daniel,Ricciardo,DANRIC01,https://www.formula1.com/content/dam/fom-website/drivers/D/DANRIC01_Daniel_Ricciardo/danric01.png.transform/1col/image.png
18,18,L STROLL,Lance STROLL,STR,8,Aston Martin,006F62,Lance,Stroll,LANSTR01,https://www.formula1.com/content/dam/fom-website/drivers/L/LANSTR01_Lance_Stroll/lanstr01.png.transform/1col/image.png
7,7,K RAIKKONEN,Kimi RAIKKONEN,RAI,11,Alfa Romeo Racing,900000,Kimi,Räikkönen,KIMRAI01,https://www.formula1.com/content/dam/fom-website/drivers/K/KIMRAI01_Kimi_R%C3%A4ikk%C3%B6nen/kimrai01.png.transform/1col/image.png
63,63,G RUSSELL,George RUSSELL,RUS,14,Williams,005AFF,George,Russell,GEORUS01,https://www.formula1.com/content/dam/fom-website/drivers/G/GEORUS01_George_Russell/georus01.png.transform/1col/image.png
22,22,Y TSUNODA,Yuki TSUNODA,TSU,16,AlphaTauri,2B4562,Yuki,Tsunoda,YUKTSU01,https://www.formula1.com/content/dam/fom-website/drivers/Y/YUKTSU01_Yuki_Tsunoda/yuktsu01.png.transform/1col/image.png
14,14,F ALONSO,Fernando ALONSO,ALO,13,Alpine,0090FF,Fernando,Alonso,FERALO01,https://www.formula1.com/content/dam/fom-website/drivers/F/FERALO01_Fernando_Alonso/feralo01.png.transform/1col/image.png
6,6,N LATIFI,Nicholas LATIFI,LAT,15,Williams,005AFF,Nicholas,Latifi,NICLAF01,https://www.formula1.com/content/dam/fom-website/drivers/N/NICLAF01_Nicholas_Latifi/niclaf01.png.transform/1col/image.png
9,9,N MAZEPIN,Nikita MAZEPIN,MAZ,17,Haas F1 Team,FFFFFF,Nikita,Mazepin,NIKMAZ01,https://www.formula1.com/content/dam/fom-website/drivers/N/NIKMAZ01_Nikita_Mazepin/nikmaz01.png.transform/1col/image.png
47,47,M SCHUMACHER,Mick SCHUMACHER,MSC,18,Haas F1 Team,FFFFFF,Mick,Schumacher,MICSCH02,https://www.formula1.com/content/dam/fom-website/drivers/M/MICSCH02_Mick_Schumacher/micsch02.png.transform/1col/image.png
