Time,TotalLaps,CurrentLap
0 days 00:00:03.969000,78.0,1
0 days 01:03:27.418000,,2
0 days 01:04:46.807000,,3
0 days 01:06:05.884000,,4
0 days 01:07:24.007000,,5
0 days 01:08:42.021000,,6
0 days 01:09:59.676000,,7
0 days 01:11:17.316000,,8
0 days 01:12:34.689000,,9
0 days 01:13:51.735000,,10
0 days 01:15:08.811000,,11
0 days 01:16:25.654000,,12
0 days 01:17:42.668000,,13
0 days 01:19:00.104000,,14
0 days 01:20:17.181000,,15
0 days 01:21:34.273000,,16
0 days 01:22:51.116000,,17
0 days 01:24:07.927000,,18
0 days 01:25:24.675000,,19
0 days 01:26:41.455000,,20
0 days 01:27:58.704000,,21
0 days 01:29:15.500000,,22
0 days 01:30:32.154000,,23
0 days 01:31:48.778000,,24
0 days 01:33:05.542000,,25
0 days 01:34:22.728000,,26
0 days 01:35:39.946000,,27
0 days 01:36:57.210000,,28
0 days 01:38:14.974000,,29
0 days 01:39:33.004000,,30
0 days 01:40:51.159000,,31
0 days 01:42:09.923000,,32
0 days 01:43:28.703000,,33
0 days 01:44:47.655000,,34
0 days 01:46:05.700000,,35
0 days 01:47:23.699000,,36
0 days 01:48:41.682000,,37
0 days 01:49:58.993000,,38
0 days 01:51:16.101000,,39
0 days 01:52:33.068000,,40
0 days 01:53:50.223000,,41
0 days 01:55:07.191000,,42
0 days 01:56:23.970000,,43
0 days 01:57:40.907000,,44
0 days 01:58:57.640000,,45
0 days 02:00:14.357000,,46
0 days 02:01:31.418000,,47
0 days 02:02:48.589000,,48
0 days 02:04:05.665000,,49
0 days 02:05:23.055000,,50
0 days 02:06:40.381000,,51
0 days 02:07:57.802000,,52
0 days 02:09:21.863000,,53
0 days 02:10:51.783000,,54
0 days 02:12:30.703000,,55
0 days 02:14:41.326000,,56
0 days 02:16:27.402000,,57
0 days 02:18:10.884000,,58
0 days 02:19:53.679000,,59
0 days 02:21:37.506000,,60
0 days 02:23:19.004000,,61
0 days 02:24:59.799000,,62
0 days 02:26:39.078000,,63
0 days 02:28:18.717000,,64
0 days 02:29:57.028000,,65
0 days 02:31:34.214000,,66
0 days 02:33:08.243000,,67
0 days 02:34:41.257000,,68
0 days 02:36:14.818000,,69
0 days 02:37:46.441000,,70
0 days 02:39:17.674000,,71
0 days 02:40:48.079000,,72
0 days 02:42:18.437000,,73
0 days 02:43:46.919000,,74
0 days 02:45:13.746000,,75
0 days 02:46:39.182000,,76
0 days 02:48:04.508000,,77
0 days 02:49:30.070000,,78
