Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,LapNumber
0 days 02:07:04.081000,21.2,84.0,1003.0,False,29.1,340,1.7,1.0
0 days 02:08:04.070000,21.3,82.0,1003.0,False,29.1,139,3.2,1.0
0 days 02:09:04.072000,21.3,85.0,1003.0,False,28.8,4,0.8,2.0
0 days 02:10:04.078000,21.3,83.0,1003.0,False,28.6,6,1.2,2.0
0 days 02:11:04.100000,21.3,84.0,1003.0,False,28.8,358,1.1,3.0
0 days 02:12:04.081000,21.4,83.0,1003.0,False,28.6,103,0.8,3.0
0 days 02:13:04.072000,21.5,83.0,1003.0,False,28.5,12,0.6,4.0
0 days 02:14:04.070000,21.6,83.0,1003.0,False,28.5,127,0.6,5.0
0 days 02:15:04.074000,21.5,82.0,1003.0,False,28.4,298,0.6,5.0
0 days 02:16:04.081000,21.6,83.0,1003.0,True,28.3,200,0.8,6.0
0 days 02:17:04.071000,21.7,82.0,1003.0,True,28.5,27,0.8,6.0
0 days 02:18:04.076000,21.8,81.0,1003.0,True,28.2,278,1.2,7.0
0 days 02:19:04.086000,21.7,81.0,1003.0,True,28.1,2,0.5,8.0
0 days 02:20:04.146000,21.6,81.0,1003.0,True,28.1,202,0.6,8.0
0 days 02:21:04.124000,21.7,81.0,1003.2,True,28.2,271,0.6,9.0
0 days 02:22:04.138000,21.9,80.0,1003.2,True,28.3,183,0.8,9.0
0 days 02:23:04.151000,21.9,80.0,1003.2,True,27.9,357,1.1,10.0
0 days 02:24:04.166000,22.0,79.0,1003.2,True,27.6,79,0.8,11.0
0 days 02:25:04.156000,21.9,78.0,1003.2,True,27.3,254,0.5,11.0
0 days 02:26:04.167000,22.0,79.0,1003.2,True,27.1,28,0.6,12.0
0 days 02:27:04.181000,22.0,77.0,1003.2,True,27.0,98,1.3,13.0
0 days 02:28:04.231000,21.9,78.0,1003.2,True,27.0,346,0.6,13.0
0 days 02:29:04.204000,21.8,79.0,1003.2,True,26.4,187,0.4,14.0
0 days 02:30:04.198000,21.9,78.0,1003.2,True,27.2,214,1.1,15.0
0 days 02:31:04.202000,21.9,78.0,1003.2,True,27.0,214,1.0,15.0
0 days 02:32:04.198000,21.9,77.0,1003.2,True,26.9,4,1.0,16.0
0 days 02:33:04.205000,22.1,76.0,1003.2,False,26.9,0,0.8,17.0
0 days 02:34:04.198000,22.0,77.0,1003.2,True,26.8,355,0.4,17.0
0 days 02:35:04.202000,22.0,77.0,1003.2,True,27.1,110,0.6,18.0
0 days 02:36:04.202000,22.1,76.0,1003.2,True,27.1,139,0.6,18.0
0 days 02:37:04.217000,22.0,77.0,1003.2,True,27.1,117,0.5,19.0
0 days 02:38:04.205000,22.0,76.0,1003.2,True,27.5,111,0.4,20.0
0 days 02:39:04.188000,22.1,76.0,1003.2,True,27.6,108,0.5,20.0
0 days 02:40:04.200000,22.2,76.0,1003.2,True,27.4,116,0.5,21.0
0 days 02:41:04.203000,22.1,76.0,1003.0,True,27.3,78,0.3,22.0
0 days 02:42:04.204000,22.2,75.0,1003.2,True,27.3,0,0.0,22.0
0 days 02:43:04.200000,22.1,76.0,1003.2,True,27.2,173,0.0,23.0
0 days 02:44:04.199000,22.2,75.0,1003.2,True,27.6,0,0.8,24.0
0 days 02:45:04.201000,22.2,75.0,1003.2,True,27.8,0,0.8,24.0
0 days 02:46:04.200000,22.3,76.0,1003.2,True,27.9,292,0.3,25.0
