Time,Date,RPM,nGear,Throttle,Brake,DRS,Source,LapNumber,DriverNumber
0 days 00:00:00.087000,2024-05-26 13:03:11.156,9682.0,1,19.0,False,1,car,1.0,81
0 days 00:00:00.287000,2024-05-26 13:03:11.356,9634.0,1,19.0,False,1,car,1.0,81
0 days 00:00:00.607000,2024-05-26 13:03:11.676,7394.0,1,20.0,False,1,car,1.0,81
0 days 00:00:00.887000,2024-05-26 13:03:11.956,5434.0,1,21.0,False,1,car,1.0,81
0 days 00:00:01.207000,2024-05-26 13:03:12.276,4271.0,1,21.0,False,1,car,1.0,81
0 days 00:00:01.407000,2024-05-26 13:03:12.476,4106.0,1,23.0,False,1,car,1.0,81
0 days 00:00:01.607000,2024-05-26 13:03:12.676,4694.0,1,38.0,False,1,car,1.0,81
0 days 00:00:01.807000,2024-05-26 13:03:12.876,5299.0,1,42.0,False,1,car,1.0,81
0 days 00:00:02.047000,2024-05-26 13:03:13.116,6979.0,1,50.0,False,1,car,1.0,81
0 days 00:00:02.407000,2024-05-26 13:03:13.476,9499.0,1,55.0,False,1,car,1.0,81
0 days 00:00:02.647000,2024-05-26 13:03:13.716,10256.0,1,55.0,False,1,car,1.0,81
0 days 00:00:03.047000,2024-05-26 13:03:14.116,10635.0,1,64.0,False,1,car,1.0,81
0 days 00:00:03.207000,2024-05-26 13:03:14.276,11475.0,1,65.0,False,1,car,1.0,81
0 days 00:00:03.528000,2024-05-26 13:03:14.597,9979.0,2,72.0,False,1,car,1.0,81
0 days 00:00:03.768000,2024-05-26 13:03:14.837,10539.0,2,78.0,False,1,car,1.0,81
0 days 00:00:04.088000,2024-05-26 13:03:15.157,11875.0,2,85.0,False,1,car,1.0,81
0 days 00:00:04.288000,2024-05-26 13:03:15.357,11175.0,2,95.0,False,1,car,1.0,81
0 days 00:00:04.488000,2024-05-26 13:03:15.557,10813.0,3,95.0,False,1,car,1.0,81
0 days 00:00:04.928000,2024-05-26 13:03:15.997,10602.0,3,99.0,False,1,car,1.0,81
0 days 00:00:05.088000,2024-05-26 13:03:16.157,10466.0,3,99.0,False,1,car,1.0,81
0 days 00:00:05.367000,2024-05-26 13:03:16.436,10427.0,4,5.0,False,1,car,1.0,81
0 days 00:00:05.807000,2024-05-26 13:03:16.876,10654.0,4,0.0,True,1,car,1.0,81
0 days 00:00:05.967000,2024-05-26 13:03:17.036,11295.0,4,0.0,True,1,car,1.0,81
0 days 00:00:06.247000,2024-05-26 13:03:17.316,10368.0,3,0.0,True,1,car,1.0,81
0 days 00:00:06.407000,2024-05-26 13:03:17.476,10508.0,3,0.0,True,1,car,1.0,81
0 days 00:00:06.887000,2024-05-26 13:03:17.956,10651.0,2,0.0,True,1,car,1.0,81
0 days 00:00:07.047000,2024-05-26 13:03:18.116,10396.0,2,0.0,True,1,car,1.0,81
0 days 00:00:07.447000,2024-05-26 13:03:18.516,9421.0,2,0.0,True,1,car,1.0,81
0 days 00:00:07.727000,2024-05-26 13:03:18.796,8568.0,2,0.0,True,1,car,1.0,81
0 days 00:00:08.007000,2024-05-26 13:03:19.076,7954.0,2,0.0,False,1,car,1.0,81
0 days 00:00:08.167000,2024-05-26 13:03:19.236,7866.0,2,1.0,False,1,car,1.0,81
0 days 00:00:08.527000,2024-05-26 13:03:19.596,8124.0,2,23.0,False,1,car,1.0,81
0 days 00:00:08.847000,2024-05-26 13:03:19.916,8888.0,2,48.0,False,1,car,1.0,81
0 days 00:00:09.007000,2024-05-26 13:03:20.076,9201.0,2,48.0,False,1,car,1.0,81
0 days 00:00:09.407000,2024-05-26 13:03:20.476,9358.0,2,55.0,False,1,car,1.0,81
0 days 00:00:09.607000,2024-05-26 13:03:20.676,9839.0,2,71.0,False,1,car,1.0,81
0 days 00:00:09.767000,2024-05-26 13:03:20.836,10539.0,2,86.0,False,1,car,1.0,81
0 days 00:00:10.168000,2024-05-26 13:03:21.237,11611.0,2,85.0,False,1,car,1.0,81
0 days 00:00:10.528000,2024-05-26 13:03:21.597,11545.0,3,99.0,False,1,car,1.0,81
0 days 00:00:10.728000,2024-05-26 13:03:21.797,11413.0,3,99.0,False,1,car,1.0,81
0 days 00:00:10.888000,2024-05-26 13:03:21.957,11015.0,3,99.0,False,1,car,1.0,81
0 days 00:00:11.248000,2024-05-26 13:03:22.317,10618.0,4,99.0,False,1,car,1.0,81
0 days 00:00:11.448000,2024-05-26 13:03:22.517,11190.0,4,99.0,False,1,car,1.0,81
0 days 00:00:11.648000,2024-05-26 13:03:22.717,11291.0,4,99.0,False,1,car,1.0,81
0 days 00:00:11.848000,2024-05-26 13:03:22.917,10871.0,4,99.0,False,1,car,1.0,81
0 days 00:00:12.007000,2024-05-26 13:03:23.076,10455.0,5,99.0,False,1,car,1.0,81
0 days 00:00:12.287000,2024-05-26 13:03:23.356,10695.0,5,99.0,False,1,car,1.0,81
