LapNumber,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,Rainfall,Year,DriverNumber,RPM,nGear,Throttle,Brake,DRS,Time,Driver,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Weight
1.0,25.700000000000003,51.0,1015.65,33.75,193.0,0.7,1.0,2018,10,9312.23498694517,3.091383812010444,44.31331592689295,123,0,0 days 00:08:19.100000,GAS,0 days 00:01:31.614000,,,,,0 days 00:00:39.994000,0 days 00:00:22.473000,,0 days 00:07:56.688000,0 days 00:08:19.214000,164.0,182.0,251.0,273.0,False,,,True,Toro Rosso,0 days 00:06:47.319000,,2,10.0,False,,False,False,837.7454011884736
2.0,26.0,50.7,1015.6,33.9,181.0,0.6,1.0,2018,10,9535.94065281899,3.421364985163205,46.26112759643917,99,0,0 days 00:09:39.719000,GAS,0 days 00:01:20.619000,1.0,,,0 days 00:00:21.571000,0 days 00:00:37.371000,0 days 00:00:21.677000,0 days 00:08:40.682000,0 days 00:09:18.053000,0 days 00:09:39.730000,188.0,182.0,251.0,276.0,True,HYPERSOFT,6.0,False,Toro Rosso,0 days 00:08:19.100000,,21,10.0,False,,False,True,836.4233922679273
3.0,26.0,50.7,1015.6,33.9,181.0,0.6,1.0,2018,10,9393.537313432837,3.6029850746268655,47.23880597014925,93,18,0 days 00:10:59.531000,GAS,0 days 00:01:19.812000,1.0,,,0 days 00:00:21.179000,0 days 00:00:37.273000,0 days 00:00:21.360000,0 days 00:10:00.909000,0 days 00:10:38.182000,0 days 00:10:59.542000,195.0,183.0,257.0,272.0,True,HYPERSOFT,7.0,False,Toro Rosso,0 days 00:09:39.719000,,1,10.0,False,,False,True,835.1013833473811
4.0,26.1,50.0,1015.6,33.9,283.0,1.0,1.0,2018,10,9425.65868263473,3.565868263473054,47.7754491017964,89,22,0 days 00:12:19.093000,GAS,0 days 00:01:19.562000,1.0,,,0 days 00:00:21.050000,0 days 00:00:37.245000,0 days 00:00:21.267000,0 days 00:11:20.592000,0 days 00:11:57.837000,0 days 00:12:19.104000,192.0,182.0,250.0,270.0,True,HYPERSOFT,8.0,False,Toro Rosso,0 days 00:10:59.531000,,1,10.0,False,,False,True,833.7793744268348
5.0,26.6,48.6,1015.6,33.6,232.0,1.65,2.0,2018,10,9441.933534743202,3.610271903323263,48.0392749244713,85,24,0 days 00:13:38.493000,GAS,0 days 00:01:19.400000,1.0,,,0 days 00:00:21.054000,0 days 00:00:37.039000,0 days 00:00:21.307000,0 days 00:12:40.158000,0 days 00:13:17.197000,0 days 00:13:38.504000,193.0,185.0,257.0,272.0,True,HYPERSOFT,9.0,False,Toro Rosso,0 days 00:12:19.093000,,1,10.0,False,,False,True,832.4573655062885
6.0,26.7,48.2,1015.6,34.5,301.0,0.9,1.0,2018,10,9434.990963855422,3.614457831325301,47.15060240963855,92,21,0 days 00:14:57.982000,GAS,0 days 00:01:19.489000,1.0,,,0 days 00:00:21.065000,0 days 00:00:37.066000,0 days 00:00:21.358000,0 days 00:13:59.569000,0 days 00:14:36.635000,0 days 00:14:57.993000,194.0,181.0,255.0,273.0,False,HYPERSOFT,10.0,False,Toro Rosso,0 days 00:13:38.493000,,1,10.0,False,,False,True,831.1353565857422
7.0,26.7,47.7,1015.2,33.9,168.0,1.9,1.0,2018,10,9387.156156156156,3.6006006006006004,46.75975975975976,92,20,0 days 00:16:17.748000,GAS,0 days 00:01:19.766000,1.0,,,0 days 00:00:20.983000,0 days 00:00:37.224000,0 days 00:00:21.559000,0 days 00:15:18.976000,0 days 00:15:56.200000,0 days 00:16:17.759000,192.0,185.0,253.0,272.0,False,HYPERSOFT,11.0,False,Toro Rosso,0 days 00:14:57.982000,,1,10.0,False,,False,True,829.8133476651959
8.0,26.7,47.7,1015.3,33.8,166.0,1.7,2.0,2018,10,9370.29129129129,3.645645645645646,48.22222222222222,89,21,0 days 00:17:37.245000,GAS,0 days 00:01:19.497000,1.0,,,0 days 00:00:21.030000,0 days 00:00:37.135000,0 days 00:00:21.332000,0 days 00:16:38.789000,0 days 00:17:15.924000,0 days 00:17:37.256000,194.0,187.0,252.0,269.0,False,HYPERSOFT,12.0,False,Toro Rosso,0 days 00:16:17.748000,,1,10.0,False,,False,True,828.4913387446496
9.0,26.8,46.1,1015.3,33.8,284.0,1.0,1.0,2018,10,9426.04204204204,3.6246246246246248,49.309309309309306,87,5,0 days 00:18:56.591000,GAS,0 days 00:01:19.346000,1.0,,,0 days 00:00:20.944000,0 days 00:00:36.986000,0 days 00:00:21.416000,0 days 00:17:58.200000,0 days 00:18:35.186000,0 days 00:18:56.602000,196.0,186.0,251.0,269.0,True,HYPERSOFT,13.0,False,Toro Rosso,0 days 00:17:37.245000,,1,10.0,False,,False,True,827.1693298241033
10.0,26.8,46.1,1015.3,33.8,284.0,1.0,1.0,2018,10,9492.084848484848,3.587878787878788,49.19090909090909,89,0,0 days 00:20:15.784000,GAS,0 days 00:01:19.193000,1.0,,,0 days 00:00:20.824000,0 days 00:00:37.136000,0 days 00:00:21.233000,0 days 00:19:17.426000,0 days 00:19:54.562000,0 days 00:20:15.795000,199.0,186.0,251.0,275.0,True,HYPERSOFT,14.0,False,Toro Rosso,0 days 00:18:56.591000,,1,10.0,False,,False,True,825.8473209035571
