driver_number,lap_number,brake_count,n_gear,drs_count,speed,throttle,rpm,meeting_key,session_key,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,Unnamed: 0,yellow_flag
1,1,78,3.5155709342560555,0,148.7993079584775,46.207612456747405,9326.743944636679,1210,9094,,,37.42,21.053,178.0,182.0,True,,"[2049, 2051, 2049, 2051, 2051, 2049]","[2051, 2051, 2051, 2051, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2051, 2051, 2049, 2051]",271.0,0,1
1,2,74,3.5194805194805197,0,147.6038961038961,44.52597402597402,9234.474025974027,1210,9094,2023-05-28 13:04:28.519000+00:00,20.954,37.366,21.047,186.0,182.0,False,79.367,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048]","[2049, 2051, 2048, 2048, 0]",259.0,1,0
1,3,77,3.68,0,151.61666666666667,45.34,9271.326666666666,1210,9094,2023-05-28 13:05:47.814000+00:00,20.854,37.288,20.932,193.0,183.0,False,79.074,"[2048, 2049, 2049, 2048, 2049, 2049]","[2049, 2048, 2049, 2048, 2048, 2048, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2048]",260.0,2,0
1,4,72,3.702797202797203,0,151.86713286713288,44.54895104895105,9262.97902097902,1210,9094,2023-05-28 13:07:06.984000+00:00,20.835,36.637,20.657,192.0,187.0,False,78.129,"[2049, 2048, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",259.0,3,0
1,5,73,3.587248322147651,0,149.6476510067114,45.513422818791945,9290.28523489933,1210,9094,2023-05-28 13:08:25.139000+00:00,20.745,36.734,20.54,188.0,187.0,False,78.019,"[None, 2048, 2048, 2049, 2049, 2048]","[2049, 2048, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049]",260.0,4,0
1,6,77,3.6551724137931036,0,150.38275862068966,44.87931034482759,9248.958620689655,1210,9094,2023-05-28 13:09:43.122000+00:00,20.488,36.55,20.602,193.0,185.0,False,77.64,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2051, 2048, 2048, 0]",260.0,5,0
1,7,74,3.7162162162162162,0,151.08783783783784,45.314189189189186,9209.962837837838,1210,9094,2023-05-28 13:11:00.777000+00:00,20.483,36.479,20.671,194.0,185.0,False,77.633,"[None, 2048, 2048, 2048, 2048, 2048]","[2051, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048]",260.0,6,0
1,8,76,3.7705479452054793,0,154.16095890410958,45.657534246575345,9247.061643835616,1210,9094,2023-05-28 13:12:18.401000+00:00,20.432,36.457,20.508,195.0,187.0,False,77.397,"[None, 2049, 2049, 2048, 2049, 2049]","[2051, 2048, 2048, 2048, 2049, 2048, 2048, 2049, 2048, 2048]","[2049, 2048, 2049, 2048, 2048]",260.0,7,0
1,9,69,3.7640845070422535,0,155.07394366197184,47.482394366197184,9373.612676056338,1210,9094,2023-05-28 13:13:35.775000+00:00,20.438,36.224,20.369,196.0,191.0,False,77.031,"[None, 2048, 2048, 2049, 2048, 2049]","[2051, 2048, 2051, 2049, 2048, 2048, 2048, 2049, 2049, 2049]","[2049, 2051, 2049, 2048, 0]",260.0,8,0
1,10,73,3.7881944444444446,0,154.40277777777777,46.795138888888886,9331.347222222223,1210,9094,2023-05-28 13:14:52.836000+00:00,20.452,36.232,20.4,,191.0,False,77.084,"[None, 2048, 2048, 2048, 2048, 2048]","[2051, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2051, 2048, 2048]",260.0,9,0
1,11,70,3.7098976109215016,0,153.25255972696246,47.129692832764505,9339.535836177474,1210,9094,2023-05-28 13:16:09.912000+00:00,20.311,36.15,20.397,195.0,190.0,False,76.858,"[None, 2048, 2049, 2049, 2049, 2049]","[2051, 2048, 2048, 2049, 2049, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2051, 2048, 2048]",260.0,10,0
1,12,72,3.700348432055749,0,151.94773519163763,45.34843205574913,9309.67944250871,1210,9094,2023-05-28 13:17:26.755000+00:00,20.386,36.053,20.554,197.0,189.0,False,76.993,"[2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2049, 2048, 2051, 2049, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",261.0,11,1
1,13,71,3.689655172413793,0,152.5758620689655,45.672413793103445,9359.472413793104,1210,9094,2023-05-28 13:18:43.769000+00:00,20.811,36.267,20.356,,187.0,False,77.434,"[None, 2048, 2048, 2048, 2048, 2049]","[2051, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2049]",261.0,12,0
1,14,69,3.7167235494880546,0,153.6655290102389,46.67918088737201,9314.665529010239,1210,9094,2023-05-28 13:20:01.205000+00:00,20.338,36.223,20.504,198.0,188.0,False,77.065,"[2049, 2048, 2048, 2048, 2048, 2048]","[2051, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048]",261.0,13,1
1,15,69,3.7152777777777777,0,152.71527777777777,46.25,9310.302083333334,1210,9094,2023-05-28 13:21:18.266000+00:00,20.271,36.248,20.56,197.0,190.0,False,77.079,"[None, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048]",261.0,14,0
1,16,77,3.705685618729097,0,154.19732441471572,45.74581939799331,9395.341137123745,1210,9094,2023-05-28 13:22:35.390000+00:00,20.269,36.135,20.42,,189.0,False,76.824,"[2048, 2048, 2049, 2048, 2049, 2048]","[2051, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2049, 2048]","[2049, 2048, 2048, 2048, 2048]",262.0,15,0
1,17,72,3.7474048442906573,0,153.6159169550173,47.69550173010381,9299.245674740485,1210,9094,2023-05-28 13:23:52.232000+00:00,20.186,36.21,20.464,199.0,191.0,False,76.86,"[None, 2048, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",262.0,16,0
1,18,73,3.7430555555555554,0,153.64236111111111,47.31597222222222,9374.861111111111,1210,9094,2023-05-28 13:25:09.028000+00:00,20.148,36.094,20.47,201.0,191.0,False,76.712,"[None, 2049, 2049, 2048, 2049, 2051]","[2051, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 0]",263.0,17,0
1,19,69,3.7288732394366195,0,152.99647887323943,46.693661971830984,9323.93661971831,1210,9094,2023-05-28 13:26:25.776000+00:00,20.223,36.163,20.437,,191.0,False,76.823,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",264.0,18,0
1,20,75,3.738255033557047,0,153.35570469798657,46.65771812080537,9318.761744966443,1210,9094,2023-05-28 13:27:42.588000+00:00,20.207,36.333,20.674,197.0,190.0,False,77.214,"[2049, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049]",267.0,19,0
1,21,76,3.7288135593220337,0,153.72203389830509,47.48474576271187,9357.938983050848,1210,9094,2023-05-28 13:28:59.805000+00:00,20.157,36.186,20.46,202.0,192.0,False,76.803,"[2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048]",265.0,20,0
1,22,72,3.7208480565371023,0,154.4310954063604,46.985865724381625,9346.484098939929,1210,9094,2023-05-28 13:30:16.569000+00:00,20.084,36.154,20.421,199.0,192.0,False,76.659,"[2051, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2049]",265.0,21,0
