date,lap_number,category,message,session_key,meeting_key,driver_number,flag,sector,scope
2023-05-28T12:05:10+00:00,1,Other,PINK HEAD PADDING MATERIAL MUST BE USED,9094,1210,,,,
2023-05-28T12:07:39+00:00,1,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,9094,1210,,DOUBLE YELLOW,9.0,Sector
2023-05-28T12:07:53+00:00,1,Flag,CLEAR IN TRACK SECTOR 9,9094,1210,,CLEAR,9.0,Sector
2023-05-28T12:10:00+00:00,1,Flag,GREEN LIGHT - PIT EXIT OPEN,9094,1210,,GREEN,,Track
2023-05-28T12:20:00+00:00,1,Other,PIT EXIT CLOSED,9094,1210,,,,
2023-05-28T12:20:53+00:00,1,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,9094,1210,,DOUBLE YELLOW,10.0,Sector
2023-05-28T12:20:59+00:00,1,Flag,YELLOW IN TRACK SECTOR 9,9094,1210,,YELLOW,9.0,Sector
2023-05-28T12:21:30+00:00,1,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,9094,1210,,DOUBLE YELLOW,9.0,Sector
2023-05-28T12:21:50+00:00,1,Flag,YELLOW IN TRACK SECTOR 9,9094,1210,,YELLOW,9.0,Sector
2023-05-28T12:22:03+00:00,1,Flag,CLEAR IN TRACK SECTOR 9,9094,1210,,CLEAR,9.0,Sector
2023-05-28T12:23:07+00:00,1,Flag,CLEAR IN TRACK SECTOR 10,9094,1210,,CLEAR,10.0,Sector
2023-05-28T12:45:52+00:00,1,Other,RISK OF RAIN FOR F1 RACE IS 20%,9094,1210,,,,
2023-05-28T12:57:07+00:00,1,Drs,DRS DISABLED,9094,1210,,,,
2023-05-28T13:03:04+00:00,1,Flag,GREEN LIGHT - PIT EXIT OPEN,9094,1210,,GREEN,,Track
2023-05-28T13:03:42+00:00,1,Flag,YELLOW IN TRACK SECTOR 7,9094,1210,,YELLOW,7.0,Sector
2023-05-28T13:03:45+00:00,1,Flag,CLEAR IN TRACK SECTOR 7,9094,1210,,CLEAR,7.0,Sector
2023-05-28T13:05:08+00:00,2,Other,TURN 5 INCIDENT INVOLVING CARS 27 (HUL) AND 2 (SAR) NOTED - CAUSING A COLLISION,9094,1210,,,,
2023-05-28T13:05:55+00:00,3,Drs,DRS ENABLED,9094,1210,,,,
2023-05-28T13:06:21+00:00,3,Other,INCIDENT INVOLVING CAR 63 (RUS) NOTED - INCORRECT STARTING LOCATION,9094,1210,,,,
2023-05-28T13:07:56+00:00,4,Other,CAR 27 (HUL) TIME 1:17.221 DELETED - TRACK LIMITS AT TURN 10 LAP 3 15:07:13,9094,1210,,,,
2023-05-28T13:08:07+00:00,4,Other,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CARS 27 (HUL) AND 2 (SAR) UNDER INVESTIGATION - CAUSING A COLLISION,9094,1210,,,,
2023-05-28T13:08:42+00:00,5,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 27 (HUL) - CAUSING A COLLISION,9094,1210,,,,
2023-05-28T13:11:31+00:00,7,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 63 (RUS) REVIEWED NO FURTHER INVESTIGATION - INCORRECT STARTING LOCATION,9094,1210,,,,
2023-05-28T13:16:41+00:00,11,Other,CAR 18 (STR) TRACK LIMITS TURN 10 LAP 1 ,9094,1210,,,,
2023-05-28T13:17:54+00:00,12,Flag,YELLOW IN TRACK SECTOR 3,9094,1210,,YELLOW,3.0,Sector
2023-05-28T13:18:51+00:00,13,Flag,CLEAR IN TRACK SECTOR 3,9094,1210,,CLEAR,3.0,Sector
2023-05-28T13:19:48+00:00,13,Other,TURN 10 INCIDENT INVOLVING CARS 55 (SAI) AND 31 (OCO) NOTED - CAUSING A COLLISION,9094,1210,,,,
2023-05-28T13:21:10+00:00,14,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,9094,1210,,DOUBLE YELLOW,3.0,Sector
2023-05-28T13:21:21+00:00,15,Flag,CLEAR IN TRACK SECTOR 3,9094,1210,,CLEAR,3.0,Sector
2023-05-28T13:22:29+00:00,15,Other,CAR 31 (OCO) TIME 1:18.271 DELETED - TRACK LIMITS AT TURN 10 LAP 11 15:17:11,9094,1210,,,,
2023-05-28T13:22:39+00:00,16,Other,CAR 55 (SAI) TIME 1:18.265 DELETED - TRACK LIMITS AT TURN 11 LAP 11 15:17:12,9094,1210,,,,
2023-05-28T13:23:53+00:00,17,Flag,BLACK AND WHITE FLAG FOR CAR 55 (SAI) - CAUSING A COLLISION,9094,1210,55.0,BLACK AND WHITE,,Driver
2023-05-28T13:24:02+00:00,17,Other,CAR 23 (ALB) TIME 1:20.892 DELETED - TRACK LIMITS AT TURN 10 LAP 15 15:22:46,9094,1210,,,,
2023-05-28T13:28:38+00:00,20,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:28:38,9094,1210,23.0,BLUE,,Driver
2023-05-28T13:29:52+00:00,21,Other,CAR 24 (ZHO) TIME 1:22.387 DELETED - TRACK LIMITS AT TURN 1 LAP 19 15:27:31,9094,1210,,,,
2023-05-28T13:39:08+00:00,28,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:39:07,9094,1210,24.0,BLUE,,Driver
2023-05-28T13:39:27+00:00,29,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:39:27,9094,1210,24.0,BLUE,,Driver
2023-05-28T13:41:11+00:00,30,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:41:10,9094,1210,27.0,BLUE,,Driver
2023-05-28T13:42:18+00:00,31,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:42:18,9094,1210,11.0,BLUE,,Driver
2023-05-28T13:43:02+00:00,31,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:43:02,9094,1210,18.0,BLUE,,Driver
2023-05-28T13:44:26+00:00,32,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:44:25,9094,1210,20.0,BLUE,,Driver
2023-05-28T13:45:44+00:00,33,Other,TURN 10 INCIDENT INVOLVING CARS 11 (PER) AND 18 (STR) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,9094,1210,,,,
2023-05-28T13:45:54+00:00,34,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:45:54,9094,1210,23.0,BLUE,,Driver
2023-05-28T13:46:12+00:00,34,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:46:12,9094,1210,24.0,BLUE,,Driver
