session_key,meeting_key,date,category,flag,lap_number,message,driver_number,scope,sector
9523,1236,2024-05-26T12:20:00+00:00,Flag,GREEN,1,GREEN LIGHT - PIT EXIT OPEN,,Track,
9523,1236,2024-05-26T12:30:00+00:00,Other,,1,PIT EXIT CLOSED,,,
9523,1236,2024-05-26T12:31:05+00:00,Flag,DOUBLE YELLOW,1,DOUBLE YELLOW IN TRACK SECTOR 7,,Sector,7.0
9523,1236,2024-05-26T12:31:34+00:00,Flag,CLEAR,1,CLEAR IN TRACK SECTOR 7,,Sector,7.0
9523,1236,2024-05-26T12:42:06+00:00,Flag,DOUBLE YELLOW,1,DOUBLE YELLOW IN TRACK SECTOR 12,,Sector,12.0
9523,1236,2024-05-26T12:43:01+00:00,Flag,CLEAR,1,CLEAR IN TRACK SECTOR 12,,Sector,12.0
9523,1236,2024-05-26T12:45:12+00:00,Other,,1,RISK OF RAIN FOR F1 RACE IS 0%,,,
9523,1236,2024-05-26T12:57:06+00:00,Drs,,1,DRS DISABLED,,,
9523,1236,2024-05-26T13:03:11+00:00,Flag,GREEN,1,GREEN LIGHT - PIT EXIT OPEN,,Track,
9523,1236,2024-05-26T13:03:36+00:00,Flag,DOUBLE YELLOW,1,DOUBLE YELLOW IN TRACK SECTOR 3,,Sector,3.0
9523,1236,2024-05-26T13:03:38+00:00,Flag,YELLOW,1,YELLOW IN TRACK SECTOR 6,,Sector,6.0
9523,1236,2024-05-26T13:03:39+00:00,Flag,YELLOW,1,YELLOW IN TRACK SECTOR 4,,Sector,4.0
9523,1236,2024-05-26T13:03:39+00:00,Flag,DOUBLE YELLOW,1,DOUBLE YELLOW IN TRACK SECTOR 4,,Sector,4.0
9523,1236,2024-05-26T13:03:44+00:00,Flag,YELLOW,1,YELLOW IN TRACK SECTOR 5,,Sector,5.0
9523,1236,2024-05-26T13:03:55+00:00,Flag,CLEAR,1,CLEAR IN TRACK SECTOR 6,,Sector,6.0
9523,1236,2024-05-26T13:03:57+00:00,Flag,YELLOW,1,YELLOW IN TRACK SECTOR 6,,Sector,6.0
9523,1236,2024-05-26T13:04:01+00:00,Flag,CLEAR,1,CLEAR IN TRACK SECTOR 5,,Sector,5.0
9523,1236,2024-05-26T13:04:02+00:00,Flag,CLEAR,1,CLEAR IN TRACK SECTOR 6,,Sector,6.0
9523,1236,2024-05-26T13:04:03+00:00,Flag,DOUBLE YELLOW,1,DOUBLE YELLOW IN TRACK SECTOR 10,,Sector,10.0
9523,1236,2024-05-26T13:04:04+00:00,Flag,YELLOW,1,YELLOW IN TRACK SECTOR 9,,Sector,9.0
9523,1236,2024-05-26T13:04:05+00:00,Flag,YELLOW,1,YELLOW IN TRACK SECTOR 11,,Sector,11.0
9523,1236,2024-05-26T13:04:05+00:00,Flag,CLEAR,1,CLEAR IN TRACK SECTOR 10,,Sector,10.0
9523,1236,2024-05-26T13:04:08+00:00,Flag,RED,1,RED FLAG,,Track,
9523,1236,2024-05-26T13:04:08+00:00,Flag,CLEAR,1,CLEAR IN TRACK SECTOR 3,,Sector,3.0
9523,1236,2024-05-26T13:04:08+00:00,Flag,CLEAR,1,CLEAR IN TRACK SECTOR 4,,Sector,4.0
9523,1236,2024-05-26T13:04:08+00:00,Flag,CLEAR,1,CLEAR IN TRACK SECTOR 9,,Sector,9.0
9523,1236,2024-05-26T13:04:08+00:00,Flag,CLEAR,1,CLEAR IN TRACK SECTOR 11,,Sector,11.0
9523,1236,2024-05-26T13:14:27+00:00,Other,,1,LAP 1 TURN 1 INCIDENT NOTED,,,
9523,1236,2024-05-26T13:14:59+00:00,Other,,1,TURN 8 INCIDENT INVOLVING CARS 10 (GAS) AND 31 (OCO) NOTED - CAUSING A COLLISION,,,
9523,1236,2024-05-26T13:21:47+00:00,Other,,1,"ORDER FOR RESTART: 16, 81, 55, 4, 63, 1, 44, 22, 23, 10, 31, 18, 3, 14, 2, 77, 24",,,
9523,1236,2024-05-26T13:22:38+00:00,Other,,1,FIA STEWARDS: LAP 1 TURN 1 INCIDENT REVIEWED NO FURTHER INVESTIGATION,,,
9523,1236,2024-05-26T13:29:32+00:00,Other,,1,RACE WILL RESUME AT 15:44,,,
9523,1236,2024-05-26T13:34:56+00:00,Other,,1,FIA STEWARDS: TURN 8 INCIDENT INVOLVING CARS 10 (GAS) AND 31 (OCO) UNDER INVESTIGATION - CAUSING A COLLISION,,,
9523,1236,2024-05-26T13:35:44+00:00,Flag,CLEAR,1,TRACK CLEAR,,Track,
9523,1236,2024-05-26T13:36:27+00:00,Flag,DOUBLE YELLOW,1,DOUBLE YELLOW IN TRACK SECTOR 13,,Sector,13.0
9523,1236,2024-05-26T13:36:52+00:00,Flag,CLEAR,1,CLEAR IN TRACK SECTOR 13,,Sector,13.0
9523,1236,2024-05-26T13:38:23+00:00,Flag,DOUBLE YELLOW,1,DOUBLE YELLOW IN TRACK SECTOR 3,,Sector,3.0
9523,1236,2024-05-26T13:39:27+00:00,Flag,CLEAR,1,CLEAR IN TRACK SECTOR 3,,Sector,3.0
9523,1236,2024-05-26T13:42:01+00:00,Other,,1,RACE WILL RESUME AT 15:44 - STANDING START PROCEDURE,,,
9523,1236,2024-05-26T13:43:45+00:00,Other,,1,ALL CARS MAY OVERTAKE THE SAFETY CAR,,,
9523,1236,2024-05-26T13:44:53+00:00,Other,,2,STANDING START,,,
9523,1236,2024-05-26T13:48:43+00:00,Drs,,4,DRS ENABLED,,,
9523,1236,2024-05-26T13:51:43+00:00,Other,,6,LAP 1 INCIDENT INVOLVING CARS 55 (SAI) AND 81 (PIA) NOTED - CAUSING A COLLISION,,,
9523,1236,2024-05-26T13:54:15+00:00,Other,,8,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 31 (OCO) - CAUSING A COLLISION,,,
9523,1236,2024-05-26T13:56:46+00:00,Other,,10,FIA STEWARDS: LAP 1 INCIDENT INVOLVING CARS 55 (SAI) AND 81 (PIA) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION,,,
9523,1236,2024-05-26T14:10:41+00:00,Other,,20,CAR 77 (BOT) TIME 1:17.829 DELETED - TRACK LIMITS AT TURN 10 LAP 19 16:10:02,,,
9523,1236,2024-05-26T14:37:27+00:00,Flag,BLUE,40,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:37:27,77.0,Driver,
9523,1236,2024-05-26T14:37:38+00:00,Flag,BLUE,41,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:37:37,77.0,Driver,
9523,1236,2024-05-26T14:37:46+00:00,Flag,BLUE,41,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:37:45,77.0,Driver,
9523,1236,2024-05-26T14:38:23+00:00,Flag,BLUE,41,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:38:22,24.0,Driver,
9523,1236,2024-05-26T14:38:29+00:00,Flag,BLUE,41,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:38:29,24.0,Driver,
9523,1236,2024-05-26T14:38:36+00:00,Flag,BLUE,41,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:38:35,2.0,Driver,
9523,1236,2024-05-26T14:38:49+00:00,Flag,BLUE,41,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:38:48,24.0,Driver,
9523,1236,2024-05-26T14:38:55+00:00,Flag,BLUE,42,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:38:54,3.0,Driver,
9523,1236,2024-05-26T14:38:56+00:00,Flag,BLUE,42,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:38:56,2.0,Driver,
9523,1236,2024-05-26T14:39:32+00:00,Flag,BLUE,42,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:39:32,14.0,Driver,
9523,1236,2024-05-26T14:39:36+00:00,Flag,BLUE,42,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:39:35,3.0,Driver,
9523,1236,2024-05-26T14:39:57+00:00,Flag,BLUE,42,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:39:57,14.0,Driver,
9523,1236,2024-05-26T14:41:38+00:00,Flag,BLUE,44,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:41:37,18.0,Driver,
9523,1236,2024-05-26T14:49:01+00:00,Flag,BLUE,49,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:49:00,24.0,Driver,
9523,1236,2024-05-26T14:49:15+00:00,Flag,BLUE,49,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:49:14,24.0,Driver,
9523,1236,2024-05-26T14:49:29+00:00,Flag,BLUE,50,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:49:29,2.0,Driver,
9523,1236,2024-05-26T14:49:33+00:00,Flag,BLUE,50,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:49:32,77.0,Driver,
9523,1236,2024-05-26T14:49:37+00:00,Flag,BLUE,50,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:49:37,24.0,Driver,
9523,1236,2024-05-26T14:49:44+00:00,Flag,BLUE,50,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:49:43,2.0,Driver,
