meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1236,9523,1,1,1,1,HARD,0
1236,9523,1,2,1,1,HARD,0
1236,9523,1,3,1,1,MEDIUM,0
1236,9523,1,4,1,1,MEDIUM,1
1236,9523,1,10,1,1,HARD,0
1236,9523,1,11,1,1,HARD,0
1236,9523,1,14,1,1,HARD,1
1236,9523,1,16,1,1,MEDIUM,0
1236,9523,1,18,1,1,HARD,1
1236,9523,1,20,1,1,HARD,0
1236,9523,1,22,1,1,MEDIUM,0
1236,9523,1,23,1,1,MEDIUM,0
1236,9523,1,24,1,1,MEDIUM,0
1236,9523,1,27,1,1,MEDIUM,0
1236,9523,1,31,1,1,HARD,0
1236,9523,1,44,1,1,HARD,0
1236,9523,1,55,1,1,MEDIUM,0
1236,9523,1,63,1,1,HARD,0
1236,9523,1,77,1,1,HARD,0
1236,9523,1,81,1,1,MEDIUM,1
1236,9523,2,77,2,15,MEDIUM,0
1236,9523,2,18,2,42,MEDIUM,1
1236,9523,2,44,2,51,MEDIUM,0
1236,9523,2,1,2,52,MEDIUM,0
1236,9523,2,2,2,57,HARD,1
1236,9523,2,24,2,70,HARD,0
1236,9523,2,3,2,77,HARD,1
1236,9523,2,14,2,77,MEDIUM,1
1236,9523,2,10,2,78,MEDIUM,0
1236,9523,2,22,2,78,HARD,1
1236,9523,2,23,2,78,HARD,0
1236,9523,2,4,2,79,HARD,0
1236,9523,2,16,2,79,HARD,0
1236,9523,2,55,2,79,HARD,0
1236,9523,2,63,2,79,MEDIUM,0
1236,9523,2,81,2,79,HARD,1
1236,9523,3,77,16,77,HARD,1
1236,9523,3,18,43,48,HARD,0
1236,9523,4,18,49,77,SOFT,0
1236,9523,3,44,52,79,HARD,0
1236,9523,3,1,53,79,HARD,0
1236,9523,3,2,58,77,MEDIUM,0
1236,9523,3,24,71,77,SOFT,0
